Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
	N	40	40	39	39	39	40
"Smith,Cleta:ECED-4310-005-SPEC POPS & DIVRS SETTINGS"	Mean	4.8421	4.8947	4.8947	4.8947	4.7778	4.8889
	N	19	19	19	19	18	18
"Smith,Cleta:ECED-4311-001-MATH & SCI FOR EC-6"	Mean	4.1429	3.8571	4.3333	4	4.6667	4.1429
	N	7	7	6	6	6	7
"Smith,Cleta:ECED-4311-002-MATH & SCI FOR EC-6"	Mean	4.8261	4.72	4.76	4.875	4.92	4.8333
	N	23	25	25	24	25	24
"Smith,David:MATH-1426-003-CALCULUS I"	Mean	4.2769	4.2813	4.3692	4.4923	4.2698	4.3437
	N	65	64	65	65	63	64
"Smith,David:MATH-2326-002-CALCULUS III"	Mean	4.4074	4.3019	4.2963	4.566	4.4259	4.4074
	N	54	53	54	53	54	54
"Smith,David:MATH-2326-003-CALCULUS III"	Mean	4.5641	4.4872	4.4872	4.7179	4.2632	4.5385
	N	39	39	39	39	38	39
"Smith,Dwain:ART-3350-002-INTRO NARRATIVE SCREENWRITING"	Mean	4.9167	4.8333	4.7	4.9167	5	5
	N	12	12	10	12	11	12
"Smith,Dwain:ART-4362-001-ADVANCED FILM/VIDEO"	Mean	4.6667	4.6667	4.8	4.7333	4.8667	4.8
	N	15	15	15	15	15	15
"Smith,Dwain:ART-4391-032-INDEPENDENT STUDY"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Smith,Eric:BIOL-3452-001-COMPARATIVE VERTEBRATE ANATOMY"	Mean	3	2.8125	3.875	3.875	4	2.8125
	N	16	16	16	16	16	16
"Smith,Gary:EXSA-1249-001-SCUBA DIVING"	Mean	4.7045	4.7619	4.7619	4.8409	4.7955	4.8222
	N	44	42	42	44	44	45
"Smith,Gary:EXSA-1249-002-SCUBA DIVING"	Mean	4.6667	4.7333	4.6	4.7333	4.4	4.7333
	N	15	15	15	15	15	15
"Smith,Harold:EDAD-5199-001-PROBATIONARY CERT INTERNSHIP (2108-86377)"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Smith,Harold:EDAD-5383-006-PRINCIPALSHIP"	Mean	4.75	4.25	4.75	4.75	5	5
	N	4	4	4	4	4	4
"Smith,Harold:EDAD-5384-001-RESOUR MGMT ED"	Mean	4.9091	4.7273	5	4.9091	4.9091	5
	N	11	11	11	11	11	11
"Smith,Jason:MATH-1426-006-CALCULUS I"	Mean	3.963	3.7407	3.7778	3.7407	4.2308	3.8519
	N	27	27	27	27	26	27
"Smith,Johanna:ENGL-2303-008-TOPICS IN LIT"	Mean	4.6538	4.5385	4.7308	4.6923	4.5769	4.6538
	N	26	26	26	26	26	26
"Smith,Johanna:ENGL-2350-002-INTRO TO TEXTS"	Mean	2.6429	2.8667	3.7692	3.0667	3.7857	2.9286
	N	14	15	13	15	14	14
"Smith,Johanna:ENGL-4399-001-SENIOR SEMINAR"	Mean	3.75	2	2.75	3.5	2.5	2.25
	N	4	4	4	4	4	4
"Smith,John:EDUC-5394-005-UNDERSTANDING CLASSROOM RSRCH"	Mean	4.4167	4.4167	4.4583	4.5833	4.4167	4.3478
	N	24	24	24	24	24	23
"Smith,Shelley:ANTH-4315-001-GROWTH, DEV, EVOL"	Mean	4.3636	3.7273	4.0909	4.7273	4.4545	3.7273
	N	11	11	11	11	11	11
"Snow,Diane:NURS-3337-003-INDEPENDENT STUDY"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Snow,Diane:NURS-5303-001-PSYCHIATRIC MANAGEMENT"	Mean	4.4545	4.0909	4.3636	4.5	4.5455	4.4091
	N	22	22	22	22	22	22
"Snow,Diane:NURS-5332-047-ADV CLINICAL NURSING PRAC CERT"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Snow,Diane:NURS-5380-047-INDEPENDENT STUDY IN RESEARCH"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Snow,Diane:NURS-5424-001-PSYCHIATRIC NURSING I"	Mean	4.3636	4.1818	4.4545	4.2727	4.4545	4.3636
	N	11	11	11	11	11	11
"Snow,Diane:NURS-5424-002-PSYCHIATRIC NURSING I"	Mean	4.5	4.5	5	5	5	5
	N	4	4	4	4	4	4
"Snow,Diane:NURS-5424-005-PSYCHIATRIC NURSING I"	Mean	4.6	4.8	4.8	4.4	4.8	4.8
	N	5	5	5	5	5	5
"Snow,Diane:NURS-6370-047-INDEPENDENT STUDY IN NURSING"	Mean	4	4	5	5	5	5
	N	2	2	2	2	2	2
"Solomon,Marva:LIST-5316-005-LITERACY PRACTICUM I"	Mean	3.9767	4.0465	4.1395	4.0233	3.9302	3.8333
	N	43	43	43	43	43	42
"Somogye,John:MILS-0180-001-LEADERSHIP LAB (2108-81383)"	Mean	4.4706	4.4118	4.5294	4.5294	4.2647	4.3636
	N	34	34	34	34	34	33
"Somogye,John:MILS-0180-002-LEADERSHIP LAB (2108-81384)"	Mean	3.5455	3.5333	3.4375	3.4375	3.3333	3.3636
	N	33	30	32	32	33	33
"Somogye,John:MILS-0180-003-LEADERSHIP LAB (2108-81385)"	Mean	4.4231	4.3846	4.5	4.3846	4.3462	4.1538
	N	26	26	26	26	26	26
"Somogye,John:MILS-0180-004-LEADERSHIP LAB (2108-81386)"	Mean	4.2727	4.0952	4.1818	4.1818	4.1818	3.9524
	N	22	21	22	22	22	21
"Souza,Kip:MATH-1301-005-ELEMENTARY MATH MODELING"	Mean	4.6923	4.6923	4.7692	4.7949	4.4103	4.8378
	N	39	39	39	39	39	37
"Souza,Kip:MATH-1308-009-ELEM STATISTICAL ANALYSIS"	Mean	4.0893	3.9821	4.0179	4.3158	4.1818	4.1404
	N	56	56	56	57	55	57
"Spaulding,Frederick:ART-3363-001-CLAY"	Mean	4.5	4.5833	4.5833	4.5833	4.25	4.5833
	N	12	12	12	12	12	12
"Spivey,Christy:ECON-3310-002-MICROECONOMICS"	Mean	4.1667	3.8333	3.9583	4.36	4.4167	3.2917
	N	24	24	24	25	24	24
"Spivey,Christy:ECON-4323-001-INTRO TO MATH ECONOMICS"	Mean	4.8	4.8	4	4.8	4.6	4.8
	N	5	5	5	5	5	5
"Spivey,Christy:ECON-5301-001-MATHEMATICS FOR ECONOMISTS"	Mean	4.9091	4.5455	4.4545	4.8182	4.8182	4.8182
	N	11	11	11	11	11	11
"Standlee,Larry:EVSE-5311-001-ENVIRONMENTAL SYSTEMS-GEOLOGICAL ASPECTS (2108-8143)"	Mean	4.4	4.2	3.6	4.4	4	4
	N	5	5	5	5	5	5
"Standlee,Larry:GEOL-1425-001-EARTH SYSTEMS"	Mean	4.2813	3.75	3.6563	4.3125	3.9375	3.7188
	N	32	32	32	32	32	32
"Standlee,Larry:GEOL-1425-002-EARTH SYSTEMS"	Mean	4	3.5161	3.8065	4.25	4.0313	3.7813
	N	32	31	31	32	32	32
"Standlee,Larry:GEOL-3340-001-GEOLOGY FOR ENGINEERS"	Mean	4.2353	3.6471	3.5882	4.1765	4.1176	3.7059
	N	17	17	17	17	17	17
"Stanley,Cori:ACCT-2301-008-PRINCIPLES OF ACCOUNTING I"	Mean	4.56	4.2	4.48	4.68	4.36	4.4
	N	25	25	25	25	25	25
"Steed,Katie:ENGL-1301-080-CRITICAL THINKING, READING, AND WRITING I"	Mean	4.2778	4.2222	4.2778	4.4444	4.6667	4
	N	18	18	18	18	18	18
"Steele,Amy:ASTR-1445-005-INTRODUCTORY ASTRONOMY I"	Mean	4.5	4.6667	4.6667	4.5	4.5	4.6667
	N	6	6	6	6	6	6
"Steele,Amy:ASTR-1445-006-INTRODUCTORY ASTRONOMY I"	Mean	4.6	4.6	4.6	4.6	4.6	4.3333
	N	5	5	5	5	5	3
"Steele,Amy:ASTR-1445-007-INTRODUCTORY ASTRONOMY I"	Mean	4.8	5	4.4	4.8	4.6	5
	N	5	5	5	5	5	5
"Steele,Amy:ASTR-1445-008-INTRODUCTORY ASTRONOMY I"	Mean	4	3.5	3.25	4	4	3.5
	N	4	4	4	4	4	4
"Steele,Amy:ASTR-1445-009-INTRODUCTORY ASTRONOMY I"	Mean	4.8	4.6	4	4.6	3.8	5
	N	5	5	5	5	5	5
"Steele,Amy:ASTR-1445-010-INTRODUCTORY ASTRONOMY I"	Mean	4.6667	4.8333	4.6	5	4.5	4.8333
	N	6	6	5	5	6	6
"Steele,Amy:ASTR-1445-011-INTRODUCTORY ASTRONOMY I"	Mean	5	4.8	4.6	5	5	5
	N	4	5	5	5	5	4
"Steele,Amy:ASTR-1445-012-INTRODUCTORY ASTRONOMY I"	Mean	4.25	4.375	4.5	4.5	4.625	4.5
	N	8	8	8	8	8	8
"Steele,Amy:ASTR-1445-013-INTRODUCTORY ASTRONOMY I"	Mean	4.6667	4.6	4.6	4.6667	4.4667	4.6429
	N	15	15	15	15	15	14
"Steele,Amy:ASTR-1445-014-INTRODUCTORY ASTRONOMY I"	Mean	4.5	4.3846	4	4.5	4.5	4.5
	N	14	13	10	14	14	14
"Steele,Amy:ASTR-1445-015-INTRODUCTORY ASTRONOMY I"	Mean	4.5	4.3571	4.4615	4.4286	4.5	4.5
	N	14	14	13	14	14	12
"Steele,Amy:ASTR-1445-016-INTRODUCTORY ASTRONOMY I"	Mean	3.4286	3.1429	3.625	3.75	3.625	3.125
	N	7	7	8	8	8	8
"Steele,Amy:ASTR-1445-017-INTRODUCTORY ASTRONOMY I"	Mean	4.4167	4.3333	4.5833	4.5833	4.0909	4.5
	N	12	12	12	12	11	10
"Steele,Amy:ASTR-1445-018-INTRODUCTORY ASTRONOMY I"	Mean	4.4444	4.4444	4.125	4.5556	4.5	4.4444
	N	9	9	8	9	8	9
"Steele,Amy:ASTR-1445-019-INTRODUCTORY ASTRONOMY I"	Mean	4.7273	4.6364	4.8182	4.6	4.4545	4.7273
	N	11	11	11	10	11	11
"Steele,Amy:ASTR-1445-021-INTRODUCTORY ASTRONOMY I"	Mean	4.6667	5	5	4.75	5	5
	N	3	4	3	4	4	3
"Steele,Amy:ASTR-1446-004-INTRODUCTORY ASTRONOMY II"	Mean	4.8333	4.8333	4.5	4.6	4.6667	4.8333
	N	6	6	6	5	6	6
"Steele,Amy:ASTR-1446-005-INTRODUCTORY ASTRONOMY II"	Mean	4.5	4.2	4.5	4.5	4.5	4.5
	N	6	5	6	6	6	6
"Steele,Amy:ASTR-1446-006-INTRODUCTORY ASTRONOMY II"	Mean	4.6	4.6	4.4	4.6	4.8	5
	N	5	5	5	5	5	4
"Steele,Amy:ASTR-1446-007-INTRODUCTORY ASTRONOMY II"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Steele,Amy:ASTR-1446-008-INTRODUCTORY ASTRONOMY II"	Mean	5	5	4.75	5	4.75	5
	N	4	4	4	4	4	4
"Steele,Amy:ASTR-1446-009-INTRODUCTORY ASTRONOMY II"	Mean	4.2	4.2	4	3.8	4.2	4.2
	N	5	5	5	5	5	5
"Steele,Amy:ASTR-1446-010-INTRODUCTORY ASTRONOMY II"	Mean	4.8333	4.8333	4.8333	5	5	5
	N	6	6	6	6	5	4
"Steele,Amy:PHYS-1445-005-ASTRONOMY I"	Mean	4.0909	4.1	3.4545	4	4.3636	3.7273
	N	11	10	11	11	11	11
"Steele,Amy:PHYS-1445-006-ASTRONOMY I"	Mean	4.5833	4.6923	4.6154	4.6923	4.4286	4.7692
	N	12	13	13	13	14	13
"Steele,Amy:PHYS-1445-007-ASTRONOMY I"	Mean	4.75	4.8235	4.8125	4.8235	4.6	4.8235
	N	16	17	16	17	15	17
"Steele,Amy:PHYS-1445-008-ASTRONOMY I"	Mean	4.2222	4.2778	4.3333	4.2353	4.4444	4.3125
	N	18	18	18	17	18	16
"Steele,Amy:PHYS-1445-009-ASTRONOMY I"	Mean	4.6875	4.5625	4.5	4.5	4.5	4.625
	N	16	16	16	16	16	16
"Steele,Amy:PHYS-1445-010-ASTRONOMY I"	Mean	4.5	4.5	4.4667	4.4286	4.6154	4.7143
	N	14	14	15	14	13	14
"Steele,Amy:PHYS-1445-011-ASTRONOMY I"	Mean	4.6	4.6	4.375	4.8	4.6667	4.8
	N	10	10	8	10	9	10
"Steele,Amy:PHYS-1445-012-ASTRONOMY I"	Mean	4.5	4.2222	4.2	4.4	4.2222	4.3
	N	10	9	10	10	9	10
"Steele,Amy:PHYS-1445-013-ASTRONOMY I"	Mean	5	4.75	4.75	5	4.6667	5
	N	4	4	4	4	3	4
"Steele,Amy:PHYS-1445-014-ASTRONOMY I"	Mean	4.6	4.6	4.6	4.6	4.5	4.5
	N	5	5	5	5	4	4
"Steele,Amy:PHYS-1445-015-ASTRONOMY I"	Mean	4.75	4.75	5	4.75	5	5
	N	4	4	4	4	3	4
"Steele,Amy:PHYS-1445-016-ASTRONOMY I"	Mean	4.4	4.2	4.4	4.6	4.2	4.3
	N	10	10	10	10	10	10
"Steele,Amy:PHYS-1445-017-ASTRONOMY I"	Mean	4.8571	4.7143	4.7143	4.8571	4.8333	5
	N	7	7	7	7	6	7
"Steele,Amy:PHYS-1445-018-ASTRONOMY I"	Mean	4.375	4.5	4.625	4.5	4.2857	4.625
	N	8	8	8	8	7	8
"Steele,Amy:PHYS-1445-019-ASTRONOMY I"	Mean	4.625	4.75	4.75	4.75	4.625	4.75
	N	8	8	8	8	8	8
"Steele,Amy:PHYS-1445-021-ASTRONOMY I"	Mean	5	5	4.8889	5	4.7143	5
	N	9	8	9	9	7	8
"Steele,Amy:PHYS-1446-004-ASTRONOMY II"	Mean	4.6923	4.6923	4.8333	4.6667	4.6667	4.6154
	N	13	13	12	12	12	13
"Steele,Amy:PHYS-1446-005-ASTRONOMY II"	Mean	4.2941	4.3889	4.3889	4.4706	4.3889	4.3889
	N	17	18	18	17	18	18
"Steele,Amy:PHYS-1446-006-ASTRONOMY II"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Steele,Amy:PHYS-1446-007-ASTRONOMY II"	Mean	4.6316	4.5263	4.3333	4.6471	4.5556	4.6316
	N	19	19	18	17	18	19
"Steele,Amy:PHYS-1446-008-ASTRONOMY II"	Mean	4.9286	4.9231	4.7857	4.9231	4.8333	4.9231
	N	14	13	14	13	12	13
"Steele,Amy:PHYS-1446-009-ASTRONOMY II"	Mean	4.1	4.1	4	4.1	4.2	4.1
	N	10	10	10	10	10	10
"Steen,Charles:ECON-3305-001-LAWS AND ECONOMICS"	Mean	4.1731	4.0192	4.0784	4.3269	4.3725	4.1731
	N	52	52	51	52	51	52
"Stein,Johnny:ENGL-1301-014-EXPOS WRITING"	Mean	4.5926	4.6667	4.5769	4.6538	4.6667	4.8148
	N	27	27	26	26	27	27
"Stein,Johnny:ENGL-1301-030-EXPOS WRITING"	Mean	4.5185	4.6429	4.6429	4.6429	4.5357	4.75
	N	27	28	28	28	28	28
"Stelmakh,Nikolai:EE-2307-002-ELECTROMAGNETICS I"	Mean	3.1765	3.3889	3.7222	3.3333	3.8235	3.0556
	N	17	18	18	18	17	18
"Stelmakh,Nikolai:EE-2347-001-COMPUTER METHODS FOR EE"	Mean	3.025	3.05	3.6	3.25	3.975	2.625
	N	40	40	40	40	40	40
"Stephens,Noni:NURS-3366-001-PATHOPHYSIOLOGIC PROCESSES"	Mean	4.6087	4.5217	4.4565	4.6522	4.5435	4.5652
	N	46	46	46	46	46	46
"Stephens,Noni:NURS-3366-002-PATHOPHYSIOLOGIC PROCESSES"	Mean	4.8462	4.7692	4.6923	4.8462	4.6923	4.8462
	N	26	26	26	26	26	26
"Stephens,Sarah:ENGL-2329-008-AMERICAN LIT"	Mean	4.4667	4.4667	4.2	4.5333	4.4667	4.6
	N	15	15	15	15	15	15
"Stephens,Sarah:ENGL-2329-009-AMERICAN LIT"	Mean	4.6	4.4286	4.381	4.75	4.6667	4.4
	N	20	21	21	20	21	20
"Stevenson,Dixie:NURS-5303-007-PSYCHIATRIC MANAGEMENT"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Stewart,James:CTEC-2300-001-INTERNET COMMUNICATION"	Mean	4.3333	4.1111	3.8889	3.8889	4.1111	4.1111
	N	9	9	9	9	9	9
"Stickels,John:CRCJ-3337-002-ADV CRIM PROC"	Mean	4.5	4.4783	4.5652	4.5652	4.3333	4.6889
	N	46	46	46	46	45	45
"Stickels,John:CRCJ-4301-004-JUDICIAL SYS"	Mean	4.5476	4.5476	4.381	4.3571	4.0476	4.6905
	N	42	42	42	42	42	42
"Stiller,Janeth:NURS-4351-004-BSN NURSING LEADERSHIP & MGMT"	Mean	4.6667	4.3333	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Stodnick,Jacqueline:ENGL-3351-003-HISTORY OF BRITISH LITERATURE I"	Mean	3.8462	4	4.5385	4.5385	4.7692	4.4615
	N	13	13	13	13	13	13
"Stodnick,Jacqueline:ENGL-4301-001-HISTORY OF THE ENGLISH LANGUAGE"	Mean	3.9375	4.0625	4.4375	4.5625	4.75	4.4375
	N	16	16	16	16	16	16
"Stodnick,Jacqueline:ENGL-4301-002-HISTORY OF THE ENGLISH LANGUAGE"	Mean	4.25	4.375	4.6875	4.5	4.625	4.5625
	N	16	16	16	16	16	16
"Stringer,Jarrod:ENGL-1301-047-EXPOS WRITING"	Mean	2.9	3	3.9474	3.55	4.4	3.1
	N	20	20	19	20	20	20
"Stringer,Jarrod:ENGL-1301-054-EXPOS WRITING"	Mean	3.9474	4.0526	4.6316	4.5263	4.4737	4.2105
	N	19	19	19	19	19	19
"Strom,Edwin:CHEM-2322-001-ORGANIC CHEMISTRY"	Mean	4.2308	3.6154	4.1026	4	4.4474	3.7895
	N	39	39	39	37	38	38
"Stvan,Laurel:LING-5347-001-PRAGMATICS"	Mean	4.8	4.6	4.6	4.6	4.8	4.4
	N	5	5	5	5	5	5
"Stvan,Laurel:LING-5381-001-THE COMPUTER AND NATURAL LANGU"	Mean	4.2	4.8	4.6	4.8	4.8	4.4
	N	5	5	5	5	5	5
"Su,Chunke:COMM-5323-001-ADV WEBSITE COMMUNICATION"	Mean	4.7692	4.7692	4.8462	4.7692	4.8462	4.6923
	N	13	13	13	13	13	13
"Su,Chunke:CTEC-2350-001-INTRO COMMUNICATION TECHNOLOGY"	Mean	4.4706	4.2941	4.4118	4.4375	4.5294	4.5294
	N	17	17	17	16	17	17
"Su,Jianzhong:MATH-5320-001-APPLIED DIFFERENTIAL EQUATIONS"	Mean	4.375	4	4.0625	4.5	4.75	4.25
	N	16	16	16	16	16	16
"Subbarao,Kamesh:AE-5336-001-KALMAN FILTERING"	Mean	4.7	4.7	4.6	4.9	4.8	4.4
	N	10	10	10	10	10	10
"Subbarao,Kamesh:AE-5336-002-KALMAN FILTERING"	Mean	4	3	3	5	5	4
	N	1	1	1	1	1	1
"Subbarao,Kamesh:MAE-4301-002-SPEC TOPICS MECH & AERO ENGR"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Subbarao,Kamesh:MAE-4310-001-INTRO TO AUTOMATIC CONTROL"	Mean	4.4667	4.3778	4.4222	4.7556	4.5778	4.7111
	N	45	45	45	45	45	45
"Subbarao,Kamesh:ME-5336-001-KALMAN FILTER"	Mean	4.5	4.5	4	4.5	4	5
	N	2	2	2	2	2	2
"Subbarao,Kamesh:ME-5336-002-KALMAN FILTER"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Subramaniam,Chandra:ACCT-5311-001-FINANCIAL ACCOUNTING I"	Mean	4.6552	4.5517	4.6552	4.8621	4.5517	4.6897
	N	29	29	29	29	29	29
"Suggs,Susan:NURS-5301-400-RESEARCH IN NURSING"	Mean	4.4	4.3333	4.5333	4.6667	4.0667	4.2
	N	15	15	15	15	15	15
"Sullivan,Timothy:HIST-4388-003-SEL TOP HIST"	Mean	4.875	4.6875	4.75	4.875	4.5	4.75
	N	16	16	16	16	16	16
"Sun-Mitchell,Shan:MATH-1308-005-ELEM STATISTICAL ANALYSIS"	Mean	4.4286	4.46	4.46	4.551	4.375	4.5714
	N	49	50	50	49	48	49
"Sun-Mitchell,Shan:MATH-5392-002-SELECTED TOPICS IN MATH"	Mean	4.5	4.5	4.3	4.5556	4.3	4.6
	N	10	10	10	9	10	10
"Swanson,Jeffrey:PSYC-3143-001-HEALTH PSYCHOLOGY LAB"	Mean	3.3333	3.2778	3.7647	3.4706	3.6667	3.3889
	N	18	18	17	17	18	18
"Swanson,Peggy:FINA-4324-001-INTERNATIONAL CORP FINANCE"	Mean	4.1852	3.9259	4.1852	4.4444	4.5769	4.1111
	N	27	27	27	27	26	27
"Swanson,Peggy:FINA-5331-001-INTERNATIONAL FINANCE"	Mean	4.2941	4.0588	4.3529	4.7647	4.25	4.1765
	N	17	17	17	17	16	17
"Swanson,Peggy:FINA-6390-002-SEMINAR SPEC TOPICS IN FINANCE"	Mean	4.3333	4	5	5	5	5
	N	3	3	3	3	3	3
"Taebel,Delbert:URPA-5322-001-POLITICS, POLICY, PUBLIC ADMN"	Mean	4.3571	3.8571	3.5714	4.1429	3.8571	3.9286
	N	14	14	14	14	14	14
"Tamez,Jose:SPAN-4334-001-CULT & ECON IN HISPANIC WORLD"	Mean	3.9286	3.7143	3.5714	3.6429	3.6429	3.5714
	N	14	14	14	14	14	14
"Tamez,Jose:SPAN-4335-001-BUSINESS SPANISH"	Mean	3.8462	3.5385	3.6154	3.6923	3.6154	3.6154
	N	13	13	13	13	13	13
"Tang,Liping:BE-5364-005-TISSUE ENGINEERING LECTURE"	Mean	4.1818	4	4.6818	4.5909	4.5455	4.381
	N	22	22	22	22	22	21
"Tanizaki,Seiichiro:CHEM-1441-004-GENERAL CHEMISTRY I"	Mean	4.2576	4.1642	4.0896	4.4242	4.2537	4.1642
	N	66	67	67	66	67	67
"Tanizaki,Seiichiro:CHEM-1445-001-CHEMISTRY NON-SCIENCE MAJORS"	Mean	3.8696	3.7826	4.0435	4	3.6522	3.5652
	N	23	23	23	23	23	23
"Tao,Meng:EE-2303-001-ELECTRONICS I"	Mean	4.2609	4	4.0455	4.4348	3.9565	4.1818
	N	23	23	22	23	23	22
"Taylor,Lisa:NURS-5418-006-ADVANCED HEALTH ASSESSMENT"	Mean	4.5	4.5	4.5	4.5	4	4.5
	N	2	2	2	2	2	2
"Taylor,Lisa:NURS-5418-007-ADVANCED HEALTH ASSESSMENT"	Mean	3.6667	3.6667	4.3333	3.6667	4.6667	4.3333
	N	3	3	3	3	3	3
"Taylor,Martin:ACCT-5301-002-ACCOUNTING ANALYSIS I"	Mean	4.3571	3.9524	4.119	4.5714	4.4524	4.119
	N	42	42	42	42	42	42
"Taylor,Martin:ACCT-5302-002- ACCOUNTING ANALYSIS II"	Mean	4.3784	4.1351	4.3611	4.5278	4.2703	4.3784
	N	37	37	36	36	37	37
"Taylor,Martin:ACCT-5321-001-RESEARCH IN ACCOUNTING ISSUES"	Mean	3.1515	2.697	3.9091	3	3.7879	3.0303
	N	33	33	33	33	33	33
"Taylor,Pat:LARC-5380-001-RESEARCH METHODS IN LAND ARCH"	Mean	4.2857	4.5714	4.5714	4.7143	3.7143	4.4286
	N	7	7	7	7	7	7
"Taylor,Robert:MAE-3344-001-INTRO MANUFACTURING ENGR"	Mean	4.381	4.119	4.2381	4.3571	4.2619	4.2857
	N	42	42	42	42	42	42
"Teng,Chengzhong:MATH-1324-001-ALGEBRA & TRIGONOMETRY"	Mean	4.4412	4.3824	4.2059	4.5588	4.2353	4.4706
	N	34	34	34	34	34	34
"Teng,Chengzhong:MATH-1324-002-ALGEBRA & TRIGONOMETRY"	Mean	4.4333	4.2667	4.3333	4.5667	4.4	4.2333
	N	30	30	30	30	30	30
"Teng,James:INSY-4325-001-INFORMATION RESOURCE MGMT"	Mean	4.5294	4.4118	4.3529	4.5294	4.2941	4.3529
	N	17	17	17	17	17	17
"Teng,James:INSY-5375-001-MANAGEMENT OF INFO SYSTEMS"	Mean	4.8333	4.8333	4.9167	4.9167	4.9091	4.9167
	N	12	12	12	12	11	12
"Terrasi,Salvatore:ART-1305-001-TWO-DIMENSIONAL DESIGN"	Mean	4.2857	4.2857	4.3571	4.2857	4.2857	4.4286
	N	14	14	14	14	14	14
"Terrasi,Salvatore:ART-2304-004-DIGITAL DESIGN"	Mean	4.6429	4.7143	4.7143	4.6429	4.7143	4.6154
	N	14	14	14	14	14	13
"Tesdal,Luke:ENGL-1301-007-EXPOS WRITING"	Mean	4.1667	4.0556	4.1667	4.1667	4	4.5
	N	18	18	18	18	18	18
"Tesdal,Luke:ENGL-1301-015-EXPOS WRITING"	Mean	4.1875	4.375	4.1875	4.75	4.625	4.5625
	N	16	16	16	16	16	16
"Thames,Gina:NURS-3365-001-PHARMACOLOGY IN NURSING PRACTI"	Mean	4.3553	4.1333	4.4211	4.5	4.3421	4.3067
	N	76	75	76	76	76	75
"Thames,Gina:NURS-3365-072-PHARMACOLOGY IN NURSING PRACTI"	Mean	4.2609	4.1739	4.4348	4.3913	4.4348	4.3043
	N	23	23	23	23	23	23
"Thames,Gina:NURS-UL-3365-600-PHARMACOLOGY IN NURSING PRACTI"	Mean	4.4211	4.2679	4.4737	4.5893	4.4107	4.3214
	N	57	56	57	56	56	56
"Thomas,Michael:CRCJ-3300-001-THEORETICAL CR"	Mean	4.381	4.2619	4.2857	4.4048	4.5366	4.4524
	N	42	42	42	42	41	42
"Thompson,Claude:ARCH-3337-001-SITE DESIGN"	Mean	4.6667	4.6667	4.5556	4.6667	4.3333	4.6667
	N	9	9	9	9	9	9
"Thompson,Claude:LARC-5344-001-PARK & REC DESIGN & PLANNING"	Mean	4.625	4.25	4.75	4.75	4.5	4.75
	N	8	8	8	8	8	8
"Tice,Kathleen:LIST-4374-001-EC-6 LIT LRNG: LITRATUR & LANG"	Mean	4.3158	4.2895	4.5526	4.5	4.4474	4.4474
	N	38	38	38	38	38	38
"Tice,Kathleen:LIST-4376-001-ASSESSMENT IN LITERACY LRNG"	Mean	4.2105	4.2105	4.3684	4.4324	4.4865	4.3514
	N	38	38	38	37	37	37
"Tice,Kathleen:LIST-4376-002-ASSESSMENT IN LITERACY LRNG"	Mean	4.7222	4.7778	4.8611	4.8333	4.8611	4.8611
	N	36	36	36	36	36	36
"Tidwell,Christy:ENGL-1301-049-EXPOS WRITING"	Mean	4	3.2857	4.2143	4	4.6429	3.7857
	N	14	14	14	14	14	14
"Tidwell,Christy:ENGL-1301-055-EXPOS WRITING"	Mean	4.6316	4.5263	4.8947	4.8421	4.9474	4.4211
	N	19	19	19	19	19	19
"Tidwell,Christy:ENGL-1302-015-CRITICAL THINK, READ, WRITE"	Mean	4.7273	4.0909	4.7	4.8182	4.9091	4.1818
	N	11	11	10	11	11	11
"Tidwell,Christy:ENGL-1302-017-CRITICAL THINK, READ, WRITE"	Mean	4.3	4	4.3	4.4	4.5	3.7
	N	10	10	10	10	10	10
"Tidwell,Christy:ENGL-2309-011-WORLD LIT"	Mean	3.4815	3.2308	4.1481	3.5926	4.3077	2.9231
	N	27	26	27	27	26	26
"Tiernan,Janice:CSE-1320-001-INTERMEDIATE PROGRAMMING"	Mean	4.1905	4.1429	4.5714	4.7619	4.5	4.4091
	N	21	21	21	21	22	22
"Tigner,Amy:ENGL-4399-003-SENIOR SEMINAR"	Mean	4.5455	4.4545	4.6364	4.7273	4.8182	4.6667
	N	11	11	11	11	11	9
"Tigner,Amy:ENGL-6329-001-TOPICS/THEMES COMPARATIVE LIT"	Mean	4.5	4.5833	4.6667	4.75	4.6667	4.6667
	N	12	12	12	12	12	12
