Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that helped me learn.	"The instructor helped me take a role in my own learning, by encouraging questions or other forms of participation as appropriate to the course."	The instructor was well prepared to teach each of the course's units / modules.	The instructor was available for consultation either in person or online.	The instructor is one whom I would recommend to other students.
	N	14	14	14	14	13	14
"Rodnitzky,Jerry:HIST-3300-002-INTRO TO HISTORICAL RESEARCH"	Mean	4.3333	4	4.6667	4.6667	5	5
	N	3	3	3	3	3	3
"Rodrigues,Jorge:BIOL-3445-001 / BIOL-5421-001-METHODS IN MOLECULAR MICROBIOLOGY"	Mean	5	5	5	5	5	4.8333
	N	6	6	6	6	6	6
"Rodrigues,Jorge:BIOL-3445-002 / BIOL-5421-002-METHODS IN MOLECULAR MICROBIOLOGY"	Mean	4.5	5	5	5	4.5	5
	N	2	2	2	2	2	2
"Rodriguez Becerra,Julian:BCMN-2358-001-TELEVISION PRODUCTION I"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Rodriguez Becerra,Julian:BCMN-3350-001-TV REPORTING I"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Rodriguez Becerra,Julian:BCMN-4320-001-CURRENT ISSUES TELECOMM"	Mean	4.875	4.875	4.75	4.75	4.75	4.75
	N	8	8	8	8	8	8
"Rodriguez,Alejandro:URPA-5332-001-PUBLIC CAPITAL BUDGETING"	Mean	4.8235	4.6471	4.6471	4.7059	4.7059	4.8824
	N	17	17	17	17	17	17
"Rodriguez,Alejandro:URPA-6315-001-PUBLIC ADMINISTRATION THEORY"	Mean	4.75	4.25	4.75	4.75	5	4.25
	N	4	4	4	4	3	4
"Rodriguez,John:CRCJ-2334-001-INTRO CRJU SYS"	Mean	4.9167	4.8333	4.5833	4.75	4.9091	4.8333
	N	12	12	12	12	11	12
"Rodriguez,John:CRCJ-3350-001-INTRO RESEARCH METHODS"	Mean	4.1923	4	4.32	4.3846	4.2692	4.1154
	N	26	26	25	26	26	26
"Rodriguez,John:CRCJ-4315-001-CRIM CAREERS"	Mean	3.9333	4.3333	4.4	4	3.6667	3.8667
	N	15	15	15	14	15	15
"Rodriguez,John:CRCJ-5380-001-CRIMINAL JUSTICE SEMINAR"	Mean	4.6667	4.6667	4.6667	4.8333	5	4.8333
	N	6	6	6	6	6	6
"Roelke,Corey:BIOL-1433-007-INTRODUCTION TO BIOLOGY I"	Mean	4.3182	4.0455	4.2727	4.5	4.5714	4.3636
	N	22	22	22	22	21	22
"Roelke,Corey:BIOL-1433-008-INTRODUCTION TO BIOLOGY I"	Mean	4.4118	3.8824	4.2353	4.3529	4.375	4.0588
	N	17	17	17	17	16	17
"Roelke,Corey:BIOL-1441-003-CELL MOL BIOL"	Mean	4.25	4.0526	3.95	4.3	4.5	4.25
	N	20	19	20	20	20	20
"Roemer,Kenneth:ENGL-2303-010-TOPICS IN LIT"	Mean	4.7857	4.6429	4.7143	4.9286	4.7692	4.6429
	N	14	14	14	14	13	14
"Roemer,Kenneth:ENGL-2329-013-AMERICAN LITERATURE"	Mean	4.4706	4.1176	4.4706	4.5882	4.5882	4.2941
	N	17	17	17	17	17	17
"Roemer,Kenneth:ENGL-4313-001-AMERICAN LIT 1900 - PRESENT"	Mean	4.75	4.375	4.875	4.875	4.75	4.75
	N	8	8	8	8	8	8
"Rogers,Jimmy:CHEM-1441-001 / CHEM-1441-401-GENERAL CHEMISTRY I"	Mean	4.5	4.4737	4.3947	4.7105	4.5135	4.3947
	N	38	38	38	38	37	38
"Rogers,Jimmy:CHEM-1441-002 / CHEM-1441-402-GENERAL CHEMISTRY I"	Mean	4.5306	4.4286	4.3542	4.7347	4.383	4.5306
	N	49	49	48	49	47	49
"Rogers,Jimmy:CHEM-1442-001-GENERAL CHEMISTRY II"	Mean	4.4902	4.4314	4.46	4.62	4.6458	4.5098
	N	51	51	50	50	48	51
"Rogers,Jimmy:CHEM-1442-002-GENERAL CHEMISTRY II"	Mean	4.7609	4.5652	4.6087	4.8043	4.7333	4.6304
	N	46	46	46	46	45	46
"Rogers,Jimmy:CHEM-4392-001-ADVANCED TOPICS IN CHEMISTRY"	Mean	4.75	4.8333	4.8182	4.6667	4.0909	4.75
	N	12	12	11	12	11	12
"Rogers,K:IE-4350-001-INDUST ENGR CAPSTONE DESIGN"	Mean	4.6	4.55	4.6	4.4	4.75	4.7
	N	20	20	20	20	20	20
"Rogers,K:IE-5334-001-LOGISTICS DISTRIBUTION SYS DES"	Mean	4.52	4.44	4.56	4.72	4.68	4.56
	N	25	25	25	25	25	25
"Rogers,K:IE-5334-002-LOGISTICS DISTRIBUTION SYS DES"	Mean	4.7143	4.2857	4.2857	4.8571	4.5714	4.7143
	N	7	7	7	7	7	7
"Rogers,Robert:GEOL-1425-011-EARTH SYSTEMS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Rogers,Robert:GEOL-1425-015-EARTH SYSTEMS"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Rogers,Robert:MARK-5327-001-RES MARKETING DECISIONS"	Mean	4	4	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Rogers,Robert:MARK-5342-001-ADV TOP MKTG RESEARCH"	Mean	4.4	4.6	4.8	4.8	5	4.4
	N	5	5	5	5	5	5
"Rohr,Jessica:LING-2371-001-LANGUAGE IN MULTICULTURAL USA"	Mean	4.75	4.75	5	5	5	4.75
	N	4	4	4	4	4	4
"Rollins,Pamela:ENGL-1301-700 and 900 RHETORIC AND COMPOSITION I"	Mean	4	4	4.25	4.4	4	4
	N	5	5	4	5	4	5
"Rollins,Pamela:ENGL-1301-701-RHETORIC AND COMPOSITION I"	Mean	4.3333	4.6667	4.6667	4.6667	5	5
	N	3	3	3	3	3	3
"Rollins,Pamela:ENGL-1302-074-RHETORIC AND COMPOSITION II"	Mean	4.625	4.1429	4.125	4.5	4.25	4
	N	8	7	8	8	8	8
"Rollins,Pamela:ENGL-1302-076-RHETORIC AND COMPOSITION II (2132-23954)"	Mean	4.8	4.4	4.8	4.6	4.75	4.4
	N	5	5	5	5	4	5
"Romanoschi,Stefan:CE-4314-001-INTRODUCTION TO RAILROAD ENGINEERING"	Mean	4	5	3	5	5	5
	N	1	1	1	1	1	1
"Romanoschi,Stefan:CE-5300-002-TOPICS IN CIVIL ENGINEERING"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Romanoschi,Stefan:CE-5336-001-PAVEMENT DESIGN"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Romanoschi,Stefan:CE-5336-002-PAVEMENT DESIGN"	Mean	3.5	4	3.5	5	2.5	3
	N	2	2	2	2	2	1
"Romero-Ortega,Mario:BE-5309-013-Human Physiology in BE"	Mean	4.4286	4.5357	4.7857	4.6071	3.8214	4.4074
	N	28	28	28	28	28	27
"Roner,Michael:BIOL-4312-001 & BIOL-5304-001-INTRODUCTION TO VIROLOGY (2132-1-0051)"	Mean	4.5	4.0556	4.3333	4.7647	4.6471	4.4444
	N	18	18	18	17	17	18
"Roner,Michael:BIOL-4312-001-INTRODUCTION TO VIROLOGY"	Mean	4.875	4.375	4.2222	5	4.6667	4.4444
	N	8	8	9	9	9	9
"Ronyak,Jennifer:MUSI-2302-001-MUS LIT"	Mean	2.9286	3.5	3.8571	4.0714	4.1429	3.2857
	N	14	14	14	14	14	14
"Ronyak,Jennifer:MUSI-3301-001-MUSIC HISTORY II"	Mean	3.6296	3.3333	3.7778	4.1852	4.0769	2.963
	N	27	27	27	27	26	27
"Ronyak,Jennifer:MUSI-3301-002-MUSIC HISTORY II"	Mean	4.1429	3.6429	3.9286	4.25	4.1786	3.5185
	N	28	28	28	28	28	27
"Rose-Michalski,Lisa:KINE-4330-001-PROGRAM DESIGN & ADMN"	Mean	4.9286	4.9286	4.8571	4.9286	4.8571	4.8462
	N	14	14	14	14	14	13
"Rose,Sarah:HIST-3307-001-HISTORY OF DISABILITY"	Mean	4.2857	3.8571	4.5714	4.2857	4.1429	4.1667
	N	7	7	7	7	7	6
"Rose,Sarah:HIST-5340-001-ISSUES/INTERPRETATIONS US HIST"	Mean	3.5	3.5	4.25	4.625	4.2857	3.375
	N	8	8	8	8	7	8
"Rosenberger,Jay:IE-5305-001-LINEAR PROGRAMMING"	Mean	4.8333	4.8333	4.8333	4.8333	4.8333	4.8333
	N	6	6	6	6	6	6
"Rosenberger,Jay:IE-5317-001-INTRO TO STATISTICS & OPS RES"	Mean	4.5714	4.5	4.3571	4.5714	4.7143	4.6429
	N	14	14	14	14	14	14
"Rosenberger,Jay:IE-5317-002-INTRO TO STATISTICS & OPS RES"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Ross,Ajani:PHYS-1402-001-PHYSICS FOR NON-SPECIALISTS II"	Mean	4.3333	4.5	4.5	4.5	4.75	4.75
	N	3	4	4	4	4	4
"Rouse,Linda:SOCI-3318-001-SELF & IDENTITY & HONR-LA-3304-007-SPECIAL TOPICS"	Mean	3.8571	3.8571	4.1429	4.2857	3.7143	4.1667
	N	7	7	7	7	7	6
"Rouse,Linda:SOCI-3318-002-SELF & IDENTITY & HONR-LA-3304-008-SPECIAL TOPICS"	Mean	3.8	3.6	4	4.2	4	3.4
	N	10	10	10	10	10	10
"Rouse,Linda:SOCI-3462-001-SOCIAL RESEARCH"	Mean	1.7	2.6	2.8	3.4	3.2222	2.5
	N	10	10	10	10	9	10
"Rouse,Linda:SOCI-3462-002-SOCIAL RESEARCH"	Mean	2.25	2.625	2.625	2.625	3.5714	2.625
	N	8	8	8	8	7	8
"Roy,Debanjana:BIOL-3427-004-PLANT SCIENCE"	Mean	4.75	4.25	4.75	4.75	4.6667	4.5
	N	4	4	4	4	3	4
"Roy,Debanjana:BIOL-3427-005-PLANT SCIENCE"	Mean	4.5	4.3333	4.1667	4.6	4.2	4.5
	N	6	6	6	5	5	6
"Rudewick,Roy:HEED-2330-002 & KINE-2330-002-CARE AND PREVENTION OF ATHLETIC INJURIES"	Mean	4.4444	4.3333	4.3333	4.3333	4.1111	4.5556
	N	9	9	9	9	9	9
"Rudewick,Roy:KINE-2420-002-INTRO TO ATHLETIC TRAINING"	Mean	3.6	3.8	4	3.8	3.6	4
	N	5	5	5	5	5	5
"Rueda-Acedo,Alicia:SPAN-3311-001-SPANISH CULTURE & CIVILIZATION"	Mean	3.7778	3.1111	3.7778	4	3.375	3.5
	N	9	9	9	9	8	8
"Rueda-Acedo,Alicia:SPAN-4341-001-BUSINESS AND LEGAL TRANSLATION"	Mean	4.4286	4.5714	4.4286	4.4286	4.7143	4.4286
	N	7	7	7	7	7	7
"Rueda-Acedo,Alicia:SPAN-4342-001-MED SCIENTIFIC & TECH TRANSL"	Mean	4.7143	4.5714	4.7143	4.4286	4.7143	4.5714
	N	7	7	7	7	7	7
"Ruiz-Perez,Ignacio:MAS-4315-001 & SPAN-4315-001-LATIN AMERICAN LIT II"	Mean	4.3529	4.3529	4.7647	4.8235	4.5882	4.2941
	N	17	17	17	17	17	17
"Ruiz-Perez,Ignacio:SPAN-5313-001-HISPANIC LITERATURE & CULTURE"	Mean	5	4.8571	5	5	4.8571	5
	N	7	7	7	7	7	7
"Ruiz,Erika:SOCW-3301-006-HUM BEHAV I"	Mean	4.625	4.5714	4.7143	4.6667	4.75	4.75
	N	8	7	7	6	8	8
"Ruiz,Erika:SOCW-3301-008-HUM BEHAV I"	Mean	4.1111	3.8889	3.8889	4	4.4444	4
	N	9	9	9	9	9	9
"Rusher,Thomas:ARCH-3343-001-ARCH COMPUTER GRAPHICS"	Mean	4	4.2857	4.7143	4.7143	4.5714	4.8333
	N	7	7	7	7	7	6
"Rusher,Thomas:ARCH-4329-001 & ARCH-5329-001-TOPICS IN COMPUTERS AND DESIGN (2132-1-0301)"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Rusher,Thomas:ARCH-4329-001 & ARCH-5329-001-TOPICS IN COMPUTERS AND DESIGN (2132-ISW-0003)"	Mean	4	5	5	5	4	5
	N	2	2	2	2	2	2
"Rusher,Thomas:ARCH-5343-001-ARCHITECTURAL GRAPHICS II"	Mean	4.4	4.4	4.8	4.3333	4.2	4.4
	N	5	5	5	6	5	5
"Russell,Howard:EE-1205-102-INTRO ELECTRICAL ENGINEERING"	Mean	3.75	4.5	4.25	4.75	3.75	3.75
	N	4	4	4	4	4	4
"Russell,Howard:EE-1205-103-INTRO ELECTRICAL ENGINEERING"	Mean	4.1429	4.1429	4.5714	4.7143	4.4286	4
	N	7	7	7	7	7	7
"Russell,Howard:EE-3446-001-CIRCUIT ANALYSIS II"	Mean	4.25	4.25	4.5	5	4	4.25
	N	4	4	4	4	4	4
"Russell,Howard:EE-3446-101-CIRCUIT ANALYSIS II"	Mean	4	4	4.3333	4	3.6667	4
	N	3	3	3	3	3	3
"Russell,Howard:EE-3446-102-CIRCUIT ANALYSIS II"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Rutschmann,Paul:HIST-4357-001-MODERN GERMANY, 1914-1990 and GERM-4314-001-GERMAN LANG & CULTURE II"	Mean	4.3	4.1	4.6	4.7	4.3	4.3
	N	10	10	10	10	10	10
"Ryan,Josephine:ANTH-3341-001-CULT RES METH"	Mean	4.75	4.5	5	4.5	4.5	5
	N	4	4	4	4	4	4
"Ryan,Josephine:ANTH-4342-001-TOPIC CULTURAL"	Mean	4.875	4.875	5	4.875	4.375	5
	N	8	8	8	8	8	8
"Sabbagh,Joseph:LING-3340-001-GRAMMAR & MORPHOLOGY"	Mean	4.7273	4.5455	4.6364	4.8182	4.8182	4.2727
	N	11	11	11	11	11	11
"Sabbagh,Joseph:LING-4303-001 & LING-5330-001-FORMAL SYNTAX"	Mean	4.8	5	4.8	4.6	4.6	4.6
	N	5	5	5	5	5	5
"Sabherwal,Sanjiv:FINA-4324-001-INTERNATIONAL CORP FINANCE"	Mean	4.8636	4.8182	4.8182	4.9048	4.5909	4.8636
	N	22	22	22	21	22	22
"Sabherwal,Sanjiv:FINA-5351-001-SEMINAR IN FINANCIAL MODELING & FINA-6390-002-SEMINAR SPEC TOPICS IN FINANCE (2132-1-0158)"	Mean	4.7	4.9	4.8	4.7778	4.8	4.8
	N	10	10	10	9	10	10
"Sabherwal,Sanjiv:FINA-5351-002-SEMINAR IN FINANCIAL MODELING"	Mean	4.6667	5	4.6667	5	5	5
	N	3	3	3	3	3	3
"Sachs,Rod:ENGL-1301-022-RHETORIC AND COMPOSITION I"	Mean	4.7	4.6	4.8889	4.7	4.8889	4.9
	N	10	10	9	10	9	10
"Saini,Ritesh:MARK-5311-002-MARKETING"	Mean	3.8571	3.5714	4	4.5714	4.5714	3.5714
	N	7	7	7	7	7	7
"Saini,Ritesh:MARK-6302-001-CONSUMER BEHAVIOR I"	Mean	4.3333	4.6667	3.6667	4.6667	4.3333	4
	N	3	3	3	3	3	3
"Salehi Dezfooli,Mojtaba:CE-1352-001-COMPUTER TOOLS"	Mean	4.3333	4.1667	4.3333	4.3333	4.3333	4.1667
	N	6	6	6	6	6	6
"Salehi Dezfooli,Mojtaba:CE-1352-002-COMPUTER TOOLS"	Mean	4.6	4.2	4.2	4.6	4.6	4.4
	N	5	5	5	5	5	5
"Salehi Dezfooli,Mojtaba:CE-1352-003-COMPUTER TOOLS"	Mean	4.1667	3.7143	4.1429	4	4	4.2857
	N	6	7	7	7	6	7
"Salehi Dezfooli,Mojtaba:CE-1352-005-COMPUTER TOOLS"	Mean	3.3333	4.3333	3.6667	3.6667	3.6667	3.3333
	N	3	3	3	3	3	3
"Salinas,Cristina:HIST-1312-015-HISTORY OF U.S."	Mean	4.25	4.25	4.375	4	4.125	3.75
	N	8	8	8	8	8	8
"Salinas,Cristina:HIST-1312-017-HISTORY OF U.S."	Mean	4	4.125	4.5	4.25	4	3.8333
	N	8	8	8	8	8	6
"Salmon,Stacy:COMS-1301-001-FUNDAMENTALS PUBLIC SPEAKING"	Mean	4.7143	4.5714	4.7143	4.7143	4.6667	5
	N	7	7	7	7	6	7
"Salmon,Stacy:COMS-1301-010-FUNDAMENTALS PUBLIC SPEAKING"	Mean	5	4.875	4.875	5	4.75	5
	N	8	8	8	8	8	8
"Salmon,Stacy:COMS-1301-011-FUNDAMENTALS PUBLIC SPEAKING"	Mean	4.9	4.9	4.9	4.9	4.9	4.9
	N	10	10	10	10	10	10
"Salmon,Stacy:COMS-4315-001-BUSINESS PRESENTATIONS"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Sanchez,Di:MANA-3318-013-MANA ORG BEHAV"	Mean	2.8462	2	2.9231	2.2308	3.1538	1.7692
	N	13	13	13	13	13	13
"Sanchez,Katherine:SOCW-6336-002-DIR PRACTICE IN MENTAL HEALTH"	Mean	4.6	4.5	4.6	4.8	4.7778	4.8889
	N	10	10	10	10	9	9
"Santos,Soyla:UNIV-1131-017-ISSUES IN COLLEGE ADJUSTMENT"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Sapkota,Madhab:BIOL-2460-005-NURSING MICROBIOLOGY"	Mean	4.2	4.2	4	4.2	4.4	3.8
	N	5	5	5	5	5	5
"Sapkota,Madhab:BIOL-3444-006-GENERAL MICROBIOLOGY"	Mean	4.2	4.4	4	4.2	4.2	4.4
	N	5	5	5	5	5	5
"Sarkar,Salil:FINA-5311-005-BUSINESS FINANCIAL MANAGEMENT"	Mean	4.75	4.75	4.25	5	4.5	4.75
	N	4	4	4	4	4	4
"Sarkar,Salil:FINA-6311-001-SEM TH CORP FIN"	Mean	4.2	4.2	4.2	4.8	5	4.8
	N	5	5	5	5	5	5
"Sasley,Brent:POLS-2311-005-GOVT OF U S"	Mean	4.3	4.1	4	4.5	4	4.4
	N	10	10	10	10	9	10
"Sasley,Brent:POLS-4371-001-ISRAEL POLITICS/FOREIGN POLICY"	Mean	4.6667	4.3333	4	4.6667	4.6667	4.3333
	N	3	3	3	3	3	3
"Sattler,Melanie:CE-5316-001-Current Topics in Enviro. Eng."	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Sattler,Melanie:CE-5316-002-Current Topics in Enviro. Eng."	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Sattler,Melanie:CE-5392-001-Special Topics/Air Pollution"	Mean	5	5	5	5	5	5
	N	5	5	5	5	5	5
"Sattler,Melanie:CE-5392-002-Special Topics/Air Pollution"	Mean	5	5	4	4	4	4
	N	1	1	1	1	1	1
"Saunders,Daniel:EDAD-5356-001-FOUNDATIONS HIGHER ED ADMN"	Mean	4.6667	4.1667	4.8333	4.6667	4.1667	4.5
	N	6	6	6	6	6	6
"Savic,Ana:ENGL-2303-008-TOPICS IN LIT"	Mean	4.5455	3.9091	4.2727	4.5455	4.3636	4
	N	11	11	11	11	11	11
"Savic,Ana:ENGL-2309-009-WORLD LIT"	Mean	4.8462	4.6923	4.8462	4.7692	4.75	4.7692
	N	13	13	13	13	12	13
"Savic,Ana:ENGL-2309-019-WORLD LIT"	Mean	5	4.8571	4.7143	5	4.8571	4.8571
	N	7	7	7	7	7	7
"Savic,Ana:ENGL-3362-001-HISTWORLDLIT II"	Mean	4.5	4.1667	4.5	4.8333	4.8333	4.8333
	N	6	6	6	6	6	6
"Savko,Carolyn:MUSI-1180-001-FUNCTIONAL PIANO I"	Mean	3	3.5	2	2.5	1.5	1
	N	2	2	2	2	2	1
"Savko,Carolyn:MUSI-1181-001-FUNCTIONAL PIANO II"	Mean	5	5	3.5	5	5	4.5
	N	2	2	2	2	2	2
"Savko,Carolyn:MUSI-1181-003-FUNCTIONAL PIANO II"	Mean	2.6667	3.3333	3.3333	2.3333	2.3333	3.5
	N	3	3	3	3	3	2
"Savko,Carolyn:MUSI-2180-001-FUNCTIONAL PIANO III"	Mean	4.5	4.5	4.5	5	4.5	4.5
	N	2	2	2	2	2	2
"Savko,Carolyn:MUSI-2181-001-FUNCTIONAL PIANO IV"	Mean	4.25	3.75	4.5	4.5	3.6667	4
	N	4	4	4	4	3	4
"Savko,Carolyn:MUSI-2181-002-FUNCTIONAL PIANO IV"	Mean	4.6	4.5	4.6	4.7	4.7	4.4
	N	10	10	10	10	10	10
"Savko,Carolyn:MUSI-4205-001-ADV FUNCTIONAL PIANO"	Mean	4.75	4.5	4.5	4.5	3.75	4.75
	N	4	4	4	4	4	4
"Saxe,Allan:POLS-2311-001-GOVT OF U S"	Mean	4.8	4.7	4.5	4.6	3.9	4.6
	N	10	10	10	10	10	10
"Saxe,Allan:POLS-2312-010-STATE & LOCAL GOVT"	Mean	4.4634	4.2143	4.3333	4.4048	4.2368	4.4524
	N	41	42	42	42	38	42
"Saxe,Allan:POLS-3308-001-POL TEXAS CITY"	Mean	4.8667	4.8667	4.9333	4.9333	4.8	5
	N	15	15	15	15	15	15
"Saxe,Allan:POLS-4392-002-SPECIAL TOPICS"	Mean	4.9	4.8	4.9	4.9	4.8	4.9
	N	10	10	10	10	10	10
"Saxon,Gerald:HIST-3300-001-INTRO TO HISTORICAL RESEARCH"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Saxon,Gerald:HIST-5343-001-PRINC OF ARCHIVES & MUSEUMS II"	Mean	4.8	4.8	4.8	4.8	4.8	4.8
	N	5	5	5	5	5	5
"Schargel,Walter:BIOL-1282-007-INTRO TO BIOLOGY LABORATORY"	Mean	4.6667	4.2667	4.2667	4.3077	4.5	4.3333
	N	15	15	15	13	14	15
"Schargel,Walter:BIOL-1434-008-INTRODUCTION TO BIOLOGY II"	Mean	4.2222	4	4.25	4.3333	4.3333	4.3333
	N	9	9	8	9	9	9
"Schargel,Walter:BIOL-2300-001-INTRODUCTION TO BIOSTATISTICS"	Mean	4.4	4	4.3	4.45	4.2	4.2632
	N	20	20	20	20	20	19
"Schargel,Walter:BIOL-2300-002-INTRODUCTION TO BIOSTATISTICS"	Mean	4.8696	4.3043	4.4783	4.6522	4.5	4.6087
	N	23	23	23	23	22	23
"Schenck,Helen:ART-3343-002-PRINTMAKING"	Mean	4.4	4.4	4.6	4.4	4.4	4.4
	N	5	5	5	5	5	5
"Schield,Drew:BIOL-1442-014-STRUC & FUNC OF ORGANISMS"	Mean	5	5	4.6667	5	4.8333	4.8333
	N	6	6	6	6	6	6
"Schield,Drew:BIOL-1442-017-STRUC & FUNC OF ORGANISMS"	Mean	3.5	4	4	3.5	4	4.5
	N	2	2	2	2	2	2
"Schira,Mary:NURS-5436-001-ACUTE CARE NURSING II"	Mean	4.9375	4.6875	4.875	4.6875	4.8125	4.875
	N	16	16	16	16	16	16
"Schizas,Ioannis:EE-5362-001-DIGITAL COMMUNICATIONS (2132-24917)"	Mean	4.5	4.1429	4.4615	4.9286	4.8462	4.5
	N	14	14	13	14	13	14
"Schizas,Ioannis:EE-5362-002-DIGITAL COMMUNICATIONS"	Mean	4	4	3	5	5	4
	N	1	1	1	1	1	1
"Schmelzer,Marilee:NURS-5328-003-THEORY & RSRCH APPL IN NURSING"	Mean	4.875	4.5	5	4.875	4.75	4.75
	N	8	8	8	8	8	8
"Schug,Kevin:CHEM-4461-001-INSTRUMENTAL ANALYSIS & CHEM-5461-001-ANALYTICAL INSTRUMENTATION"	Mean	4.5	4.4	4.5	4.7	4.5556	4.7
	N	10	10	10	10	9	10
"Schug,Kevin:CHEM-4461-101-INSTRUMENTAL ANALYSIS & CHEM-5461-101-ANALYTICAL INSTRUMENTATION"	Mean	4.75	4.5	4.75	4.6667	4.75	4.75
	N	4	4	4	3	4	4
"Schug,Kevin:CHEM-4461-102-INSTRUMENTAL ANALYSIS & CHEM-5461-102-ANALYTICAL INSTRUMENTATION"	Mean	4.4	4.2	4.2	4.6	4.5	4.2
	N	5	5	5	5	4	5
"Schwartz,Marc:EDUC-5364-001-EPISTEMOLOGY AND NEUROSCIENCE (2132-24681)"	Mean	4.6	4.8	4.8	4.4	4.2	4.8
	N	5	5	5	5	5	5
"Schwemer,Lee:ACCT-5347-001-FEDERAL TAX OF GIFTS & ESTATES"	Mean	5	5	5	5	4	5
	N	1	1	1	1	1	1
"Schwemer,Lee:BLAW-3311-004-LAW I"	Mean	4.2667	4.2	3.9333	4.5333	3.9333	4.3333
	N	15	15	15	15	15	15
"Schwemer,Lee:BLAW-3311-007-LAW I"	Mean	4.6364	4.3636	4.1818	4.8182	3.8182	4.6364
	N	11	11	11	11	11	11
"Schwemer,Lee:BLAW-3314-001-REAL ESTATE LAW & REAE-5337-001-REAL PROPERTY LAW (2132-1-0319)"	Mean	4.5833	4.25	4.0833	4.5	3.7273	4.4167
	N	12	12	12	12	11	12
"Schwemer,Lee:BLAW-5330-001-LEGAL ENVIRON OF BUSINESS"	Mean	4.3333	3.8333	4	4.6667	4.5	4.3333
	N	6	6	6	6	4	6
"Scielzo,Shannon:PSYC-1315-002-INTRO TO PSYCHOLOGY"	Mean	4.5161	4.2903	4.5161	4.5806	4.5	4.5161
	N	31	31	31	31	30	31
"Scielzo,Shannon:PSYC-5326-001-EMPLOYEE SELECTION"	Mean	3	2.4545	3.2727	3.4545	4.1818	2.7
	N	11	11	11	11	11	10
"Sconyers,Woodleas:IE-5353-001-SYSTEMS ENGINEERING II"	Mean	4.6667	3.6667	4.6667	4.6667	4	4.3333
	N	3	3	3	3	3	3
"Scotese,Christopher:GEOL-4330-045 & GEOL-5320-045-GEOGRAPHIC INFORMATION SYSTEMS"	Mean	3.9	3.25	3.3	3.2	2.4	3.1053
	N	20	20	20	20	20	19
"Scott,Karen:INSY-2303-002-INTRO TO MIS/DATA PROCESSING"	Mean	4.2222	3.5	3.6111	3.6667	4.2222	3.7778
	N	18	18	18	18	18	18
"Scott,Karen:INSY-2303-003-INTRO TO MIS/DATA PROCESSING"	Mean	4.3846	4	3.9231	4.4615	4.4615	4.0769
	N	13	13	13	13	13	13
"Scott,Karen:INSY-2303-004-INTRO TO MIS/DATA PROCESSING"	Mean	3.7	3	2.7	3.5556	3.7	3.4444
	N	10	10	10	9	10	9
"Scott,Karen:INSY-2303-005-INTRO TO MIS/DATA PROCESSING"	Mean	3.8571	3.3077	3.5385	3.2222	3.5385	3.7857
	N	14	13	13	9	13	14
"Scott,Marsha:SCIE-1101-001-STEP 1: INQRY APPRCH TEACHING"	Mean	4.25	4.75	5	4.75	4.5	4.75
	N	4	4	4	4	4	4
"Scott,Marsha:SCIE-1102-001-STEP 2: INQUIRY LESSON DESIGN"	Mean	4.75	4.75	4.75	4.75	4.75	4.75
	N	4	4	4	4	4	4
"Seal,Lawton:CHEM-2182-005 / 006-ORGANIC CHEMISTRY II LAB"	Mean	4.8235	4.6471	4.7059	4.7059	4.4706	4.8235
	N	17	17	17	17	17	17
"Seal,Lawton:CHEM-2182-010 / 011-ORGANIC CHEMISTRY II LAB"	Mean	4.75	4.75	4.875	4.625	4.875	4.875
	N	8	8	8	8	8	8
"Seaquist,Thomas:MATH-1426-500-CALCULUS I"	Mean	4.125	3.625	4	4.375	4.6	3.625
	N	8	8	8	8	5	8
"Sears,Kenneth:INSY-2303-006-INTRO TO MIS/DATA PROCESSING"	Mean	4.5833	3.9167	4.25	4.4167	4.7	4
	N	12	12	12	12	10	12
"Sears,Kenneth:INSY-3303-001-COMP NTWKS & DIST COMPUTING"	Mean	3.5714	3.1429	3.4286	3.2857	4.2857	3.5714
	N	7	7	7	7	7	7
"Sears,Kenneth:INSY-3303-002-COMP NTWKS & DIST COMPUTING"	Mean	3.6	2.6	3	2.6	4	2.8
	N	5	5	5	5	4	5
"Sears,Kenneth:INSY-3323-001-DIGITAL TECHS FOR BUSINESS"	Mean	4	3	3.6667	3.6667	4	3.6667
	N	6	6	6	6	6	6
"Segvic,Ivana:JOUR-1345-006-WRITING FOR MASS MEDIA"	Mean	4.5	4.3333	4.8333	4.8333	4.8333	4.5
	N	6	6	6	6	6	6
